Date,Buy,Sell
2024-04-30 17:00:00,"83,000","85,200"
2024-05-02 01:22:42,"82,500","84,700"
2024-05-02 03:03:01,"82,600","84,800"
2024-05-02 03:10:08,"82,800","85,000"
2024-05-02 03:10:30,"82,800","85,000"
2024-05-02 04:12:34,"82,900","85,100"
2024-05-03 01:28:13,"82,900","85,200"
2024-05-03 03:32:54,"83,000","85,300"
2024-05-03 04:09:44,"83,200","85,500"
2024-05-03 04:29:56,"83,500","85,800"
2024-05-04 01:34:46,"83,500","85,900"
2024-05-06 01:27:02,"83,800","86,000"
2024-05-06 02:21:17,"84,000","86,200"
2024-05-06 03:40:28,"83,800","86,000"
2024-05-06 04:07:42,"83,700","85,900"
2024-05-06 07:00:01,"83,800","86,000"
2024-05-06 07:33:18,"83,900","86,100"
2024-05-06 07:41:51,"84,300","86,500"
2024-05-07 01:26:12,"84,600","86,800"
2024-05-07 02:04:23,"84,700","86,900"
2024-05-07 02:10:57,"84,800","87,000"
2024-05-07 02:36:55,"85,000","87,200"
2024-05-07 03:00:08,"85,200","87,400"
2024-05-07 03:01:57,"85,300","87,500"
2024-05-08 01:25:41,"85,100","87,300"
2024-05-08 01:39:22,"85,000","87,200"
2024-05-08 04:04:52,"85,300","87,500"
2024-05-09 01:30:36,"85,700","88,000"
2024-05-09 01:40:45,"85,900","88,200"
2024-05-09 01:48:29,"86,000","88,300"
2024-05-09 02:19:11,"86,200","88,500"
2024-05-09 02:57:05,"86,400","88,700"
2024-05-09 04:19:25,"86,500","88,800"
2024-05-09 06:17:04,"86,800","89,100"
2024-05-09 07:23:34,"87,000","89,300"
2024-05-09 08:00:18,"87,200","89,500"
2024-05-10 01:36:37,"88,200","90,500"
2024-05-10 02:37:49,"88,500","90,800"
2024-05-10 03:18:30,"88,900","91,200"
2024-05-10 03:26:45,"89,200","91,500"
2024-05-10 03:39:44,"89,500","91,800"
2024-05-10 03:59:27,"89,700","92,000"
2024-05-10 06:24:49,"89,900","92,200"
2024-05-10 07:11:19,"90,100","92,400"
2024-05-11 01:36:00,"89,200","91,700"
2024-05-11 02:39:40,"88,800","91,300"
2024-05-13 01:28:14,"85,500","88,500"
2024-05-13 03:03:33,"85,800","88,800"
2024-05-13 03:13:54,"86,000","89,000"
2024-05-13 03:19:48,"86,500","89,500"
2024-05-13 03:33:07,"87,500","90,000"
2024-05-13 04:27:16,"88,000","90,500"
2024-05-13 07:15:09,"87,500","90,000"
2024-05-14 01:23:50,"86,000","89,000"
2024-05-15 01:25:53,"87,300","89,800"
2024-05-15 03:28:20,"87,500","90,000"
2024-05-15 03:28:31,"87,500","90,000"
2024-05-15 08:29:51,"87,700","90,200"
2024-05-16 01:29:50,"87,900","90,400"
2024-05-16 02:16:37,"87,700","90,200"
2024-05-16 02:43:39,"87,500","90,000"
2024-05-17 01:32:43,"87,400","89,900"
2024-05-17 06:41:31,"87,500","90,000"
2024-05-18 01:26:53,"87,700","90,400"
2024-05-20 01:28:32,"88,400","90,400"
2024-05-20 01:39:48,"88,600","90,600"
2024-05-20 04:04:12,"88,700","90,700"
2024-05-20 04:19:27,"88,800","90,800"
2024-05-20 07:09:26,"88,900","90,900"
2024-05-20 07:53:09,"89,000","91,000"
2024-05-21 01:31:17,"88,800","90,800"
2024-05-21 01:54:24,"88,700","90,700"
2024-05-21 02:08:50,"88,500","90,500"
2024-05-21 07:42:20,"88,600","90,600"
2024-05-21 08:41:16,"88,700","90,700"
2024-05-21 09:48:57,"88,400","90,400"
2024-05-22 01:24:53,"88,900","90,900"
2024-05-23 01:30:51,"88,000","90,000"
2024-05-23 01:55:16,"87,800","89,800"
2024-05-24 01:18:46,"87,500","89,500"
2024-05-25 01:22:18,"87,500","89,500"
2024-05-27 01:27:01,"87,600","89,600"
2024-05-27 02:55:09,"87,700","89,700"
2024-05-27 06:57:25,"87,800","89,800"
2024-05-27 08:34:24,"87,900","89,900"
2024-05-28 01:28:35,"88,400","90,400"
2024-05-28 03:20:53,"88,500","90,500"
2024-05-29 01:15:04,"88,900","90,900"
2024-05-29 07:31:34,"88,800","90,800"
2024-05-29 07:31:41,"88,800","90,800"
2024-05-29 07:51:55,"88,600","90,600"
2024-05-29 09:00:38,"88,300","90,300"
2024-05-30 01:42:33,"84,500","88,000"
2024-05-30 04:14:53,"86,000","88,500"
2024-05-30 08:10:36,"86,300","88,800"
2024-05-31 01:32:46,"85,800","88,800"
2024-05-31 02:07:17,"85,600","88,600"
2024-05-31 02:27:17,"85,400","88,400"
2024-05-31 02:36:39,"84,500","88,000"
2024-05-31 03:44:52,"84,200","87,700"
2024-05-31 04:22:07,"84,000","87,500"
2024-05-31 07:20:05,"83,000","87,000"
2024-05-31 17:00:00,"83,000","87,000"
2024-06-01 01:28:38,"82,000","85,000"
2024-06-01 03:37:45,"81,500","84,500"
2024-06-01 04:13:57,"81,000","84,000"
2024-06-01 07:03:23,"81,000","83,500"
2024-06-01 10:02:12,"81,000","83,000"
2024-06-03 01:29:40,"80,000","82,500"
2024-06-03 01:53:36,"80,000","82,000"
2024-06-03 02:01:16,"79,000","81,000"
2024-06-03 07:28:57,"77,980","79,980"
2024-06-04 01:50:31,"77,980","79,980"
