bond_id,face,issue_date,maturity_date,call_exercise_dates,put_exercise_dates,call_strike,put_strike,coupon_accrual,annual_coupon_rate,ref_curve,ref_tenor,margin_date,margin,floor,cap,style,group
VIBL2431010 (new_1),100,12/18/2024,12/18/2031,12/18/2026,,100,100,1,,SOB4,12M,12/18/2029,0.028;0.038,,,European,2
HDBL2427028_new1,100,12/24/2024,12/24/2027,12/24/2026,12/24/2026,100,100,1,0.057,,,,,,,European,3
CTG12506_new,100,6/20/2025,6/20/2033,6/20/2028,,100,100,1,,SOB4,12M,6/20/2030,0.015;0.028,,,European,1
AGRIBANK253501_newest,100,7/29/2025,7/29/2035,7/29/2030,7/29/2030,100,100,1,,,,,2,,,European,1
VIB12503_NEW1,100,9/15/2025,9/15/2028,2026/09/15;2027/09/15,2026/09/15;2027/09/15,100;100,100;100,1,0.056,,,,,,,Bermudan,2
CTG12502 (new),100,4/28/2025,4/28/2033,4/18/2028,,100,100,1,,SOB4,12M,4/28/2030,0.012;0.0287,,,European,1
VPB12517,100,12/24/2025,12/24/2027,12/24/2026,12/24/2026,100,100,1,0.076,,,,,,,European,2
HDBC8Y253302,100,8/20/2025,8/20/2033,8/20/2028,,100,100,1,,SOB4,12M,,0.02,,,European,3
BID12513_new2,100,5/29/2025,5/29/2033,5/29/2028,,100,100,0.5,,SOB4,12M,5/29/2030,0.015;0.028,,,European,1
VPB12509_new_1,100,6/30/2025,6/30/2028,6/30/2027,6/30/2027,100,100,1,0.054,,,,,,,European,2
VPB12504 (new_1),100,5/21/2025,5/21/2028,5/21/2027,5/21/2027,100,100,1,0.054,,,,,,,European,2
VPBB2427001_new (Roll 1)_1,100,8/18/2025,8/18/2027,8/18/2027,8/18/2027,100,100,1,0.055,,,,,,,European,2
VBA12505,100,12/25/2025,12/25/2027,12/25/2027,12/25/2027,100,100,1,0.055,,,,,,,European,1
