bond_id,obs_date,dirty_amount,par_value,coupon_rate
TPBL12608,8/24/2026,"2,000,000,000,000.00","2,000,000,000,000.00",0.091
VIBL12605,9/16/2026,"3,000,000,000,000.00","3,000,000,000,000.00",0.089
VIBL12604,8/21/2026,"3,300,000,000,000.00","3,300,000,000,000.00",0.09
VPB12517,12/24/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.076
VPB12504,5/21/2025,"3,000,000,000,000.00","3,000,000,000,000.00",0.054
VIBL2427009,12/13/2024,"2,000,000,000,000.00","2,000,000,000,000.00",0.053
TCB12501,4/21/2025,"3,200,000,000,000.00","3,200,000,000,000.00",0.052
HDBL2427028,12/24/2024,"1,000,000,000,000.00","1,000,000,000,000.00",0.057
VIB12503,9/15/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.056
VPB12509,6/30/2025,"3,000,000,000,000.00","3,000,000,000,000.00",0.054
TCBL2427008,6/28/2024,"2,000,000,000,000.00","2,000,000,000,000.00",0.053
TPBL2427005,6/28/2024,"1,500,000,000,000.00","1,500,000,000,000.00",0.052
VIBL2427005,9/27/2024,"2,000,000,000,000.00","2,000,000,000,000.00",0.051
TCBL2427008,6/30/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.053
TPBL2427005,6/30/2025,"1,500,000,000,000.00","1,500,000,000,000.00",0.052
TCB12409,6/30/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.054
SIN12406,6/13/2025,"1,000,000,000,000.00","1,000,000,000,000.00",0.051
MSB12404,6/5/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.053
TCB12409,5/7/2025,"2,093,682,652,000.00","2,000,000,000,000.00",0.054
MSBL2427002,4/22/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.039
VIBL2226001,2/28/2025,"948,000,000,000.00","948,000,000,000.00",0.039
OCBL2326015,1/14/2025,"2,008,663,002,699.00","2,000,000,000,000.00",0.051
TPBL2125019,11/29/2024,"400,000,000,000.00","400,000,000,000.00",0.038
HDBL2125015,12/17/2024,"600,000,000,000.00","600,000,000,000.00",0.038
HDBL2125010,12/9/2024,"400,000,000,000.00","400,000,000,000.00",0.038
TPBL2326014,12/2/2024,"2,000,000,000,000.00","2,000,000,000,000.00",0.057
OCBL2326014,11/27/2024,"1,000,000,000,000.00","1,000,000,000,000.00",0.06
OCBL2326012,11/15/2024,"1,000,000,000,000.00","1,000,000,000,000.00",0.06
VIBL2125018,11/4/2024,"500,000,000,000.00","500,000,000,000.00",0.038
HDBL2125010,9/20/2024,"410,918,555,600.00","400,000,000,000.00",0.038
HDBL2125015,9/20/2024,"615,736,788,600.00","600,000,000,000.00",0.038
TPBL2125019,9/25/2024,"411,722,264,000.00","400,000,000,000.00",0.038
VIBL2125018,9/20/2024,"515,998,475,000.00","500,000,000,000.00",0.038
VIBL2125019,11/8/2024,"650,000,000,000.00","650,000,000,000.00",0.038
VIBL2125016,10/28/2024,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
VIBL2125014,8/26/2024,"400,000,000,000.00","400,000,000,000.00",0.038
TCBL2326005,7/31/2024,"2,000,000,000,000.00","2,000,000,000,000.00",0.06
SIN12406,6/13/2024,"1,000,000,000,000.00","1,000,000,000,000.00",0.051
MSB12404,6/5/2024,"2,000,000,000,000.00","2,000,000,000,000.00",0.053
TCBL2225006,6/17/2024,"1,500,000,000,000.00","1,500,000,000,000.00",0.043
TCBL2225005,6/14/2024,"1,500,000,000,000.00","1,500,000,000,000.00",0.043
HDBL2225003,5/31/2024,"1,100,000,000,000.00","1,100,000,000,000.00",0.042
HDBL2225002,5/30/2024,"1,500,000,000,000.00","1,500,000,000,000.00",0.042
TPBL2225008,5/27/2024,"999,000,000,000.00","999,000,000,000.00",0.043
TPBL2225006,5/27/2024,"500,117,808,219.00","500,000,000,000.00",0.043
MSBL2225002,5/17/2024,"1,000,000,000,000.00","1,000,000,000,000.00",0.043
MSBL2427002,4/22/2024,"2,000,000,000,000.00","2,000,000,000,000.00",0.039
VIBL2225003,4/1/2024,"1,000,106,849,315.00","1,000,000,000,000.00",0.039
LPBH2124016,12/21/2023,"990,000,000,000.00","990,000,000,000.00",0.033
LPBH2124015,12/15/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.033
OCBL2326015,12/14/2023,"2,000,000,000,000.00","2,000,000,000,000.00",0.051
LPBH2124014,12/13/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.033
TPBL2326014,11/30/2023,"2,000,000,000,000.00","2,000,000,000,000.00",0.057
OCBL2326014,11/27/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.06
OCBL2326012,11/15/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.06
HDBL2225012,8/30/2023,"500,000,000,000.00","500,000,000,000.00",0.057
OCBL2225011,8/28/2023,"500,153,424,658.00","500,000,000,000.00",0.056
MSBL2124005,8/11/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.037
TCBL2326005,7/31/2023,"2,000,000,000,000.00","2,000,000,000,000.00",0.06
LPBH2225007,7/26/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.048
OCBL2225009,7/21/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.045
TPBL2225009,7/21/2023,"1,100,000,000,000.00","1,100,000,000,000.00",0.047
LPBH2124011,7/19/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.039
LPBH2124009,7/14/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.039
LPBH2225004,6/29/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.044
TCBL2225009,6/21/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.042
TCBL2225008,6/20/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.042
MSBL2124003,6/7/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
VIBL2225004,5/31/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
TPBL2124006,5/31/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.038
TPBL2124005,5/29/2023,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
TPBL2225005,5/25/2023,"500,000,000,000.00","500,000,000,000.00",0.04
TPBL2225003,5/24/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
MSBL2124001,5/18/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
VPBL2124012,4/28/2023,"500,000,000,000.00","500,000,000,000.00",0.039
VPBL2124011,4/26/2023,"500,000,000,000.00","500,000,000,000.00",0.039
SHBH2123018,12/22/2022,"500,052,054,795.00","500,000,000,000.00",0.038
TCBB2023003,12/22/2022,"2,000,000,000,000.00","2,000,000,000,000.00",0.04
SHBH2123017,12/21/2022,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
TPBANKBOND_A4_171220,12/19/2022,"500,126,027,397.00","500,000,000,000.00",0.046
VPBL2124026,12/16/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.024
OCBH2023009,12/15/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.046
OCBH2023008,12/14/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.046
TPBANKBOND_A4_101220,12/12/2022,"500,126,027,397.00","500,000,000,000.00",0.046
SHBH2123011,10/7/2022,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
SHBH2123009,9/23/2022,"950,098,904,110.00","950,000,000,000.00",0.038
SHBH2123008,9/16/2022,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
HDBL2225012,8/30/2022,"500,000,000,000.00","500,000,000,000.00",0.057
OCBL2225011,8/26/2022,"500,000,000,000.00","500,000,000,000.00",0.056
LPBH2225007,7/27/2022,"1,000,131,506,000.00","1,000,000,000,000.00",0.048
TPBL2225009,7/22/2022,"1,100,141,647,000.00","1,100,000,000,000.00",0.047
OCBL2225009,7/21/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.045
LPBH2225004,6/30/2022,"1,000,120,547,000.00","1,000,000,000,000.00",0.044
TCBL2225009,6/21/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.042
TCBL2225008,6/20/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.042
