bond_id,obs_date,dirty_amount,par_value,coupon_rate
VCB12604,7/17/2026,"500,000,000,000.00","500,000,000,000.00",0.0787
VCBL12608,8/17/2026,"500,000,000,000.00","500,000,000,000.00",0.0787
VCB12606,8/6/2026,"2,000,000,000,000.00","2,000,000,000,000.00",0.08
VCB12603,7/6/2026,"100,000,000,000.00","100,000,000,000.00",0.079
VCB12601,6/2/2026,"400,000,000,000.00","400,000,000,000.00",0.079
VCBH2230004,7/22/2024,"300,000,000,000.00","300,000,000,000.00",0.0648
VCBH2237003,7/22/2024,"250,000,000,000.00","250,000,000,000.00",0.068
VCBH2237002,7/15/2024,"400,000,000,000.00","400,000,000,000.00",0.068
VCBH2237001,7/11/2024,"100,000,000,000.00","100,000,000,000.00",0.068
VCBL2329001,12/22/2023,"1,000,000,000,000.00","1,000,000,000,000.00",0.056
VCBL2329002,12/22/2023,"2,000,000,000,000.00","2,000,000,000,000.00",0.062
VCBH2131008,12/23/2023,"300,000,000,000.00","300,000,000,000.00",0.067
VCBH2131003,11/19/2023,"600,000,000,000.00","600,000,000,000.00",0.067
VCBH2131001,11/15/2023,"450,000,000,000.00","450,000,000,000.00",0.067
VCBH2232006,8/15/2023,"100,000,000,000.00","100,000,000,000.00",0.066
VCBH2230005,8/9/2023,"1,500,000,000,000.00","1,500,000,000,000.00",0.065
VCB_BOND_RL06_2018_24,12/28/2021,"117,000,000,000.00","117,000,000,000.00",0.063
VCB_BOND_RL06_2018_23,12/26/2021,"63,500,000,000.00","63,500,000,000.00",0.063
VCB_BOND_RL06_2018_22,12/24/2021,"11,600,000,000.00","11,600,000,000.00",0.063
VCB_BOND_RL06_2018_21,12/20/2021,"18,400,000,000.00","18,400,000,000.00",0.063
VCB_BOND_RL06_2018_20,12/18/2021,"37,300,000,000.00","37,300,000,000.00",0.063
VCB_BOND_RL06_2018_19,12/14/2021,"21,400,000,000.00","21,400,000,000.00",0.0635
VCB_BOND_RL06_2018_18,12/12/2021,"18,300,000,000.00","18,300,000,000.00",0.0635
VCB_BOND_RL06_KHDN_2018_02,12/11/2021,"100,000,000,000.00","100,000,000,000.00",0.0635
VCB_BOND_RL06_2018_17,12/10/2021,"13,600,000,000.00","13,600,000,000.00",0.07
VCB_BOND_RL06_2018_16,12/6/2021,"30,300,000,000.00","30,300,000,000.00",0.07
VCB_BOND_RL06_2018_15,12/4/2021,"57,800,000,000.00","57,800,000,000.00",0.07
VCB_BOND_RL06_2018_14,11/30/2021,"55,200,000,000.00","55,200,000,000.00",0.07
VCB_BOND_RL06_2018_13,11/28/2021,"50,500,000,000.00","50,500,000,000.00",0.07
VCB_BOND_RL06_2018_12,11/26/2021,"26,400,000,000.00","26,400,000,000.00",0.07
VCB_BOND_RL06_2018_11,11/22/2021,"39,800,000,000.00","39,800,000,000.00",0.07
