,delta,nguon,so_quan_sat,tong_menh_gia
2025-06,0.0019177080058187088,observed,6,11500000000000.0
2025-07,0.0019177080058187088,carry:2025-06,0,
2025-08,0.0019177080058187088,carry:2025-06,0,
2025-09,0.004228903558428347,observed,1,2000000000000.0
2025-10,0.004228903558428347,carry:2025-09,0,
2025-11,0.004228903558428347,carry:2025-09,0,
2025-12,-0.0005280540575864598,observed,1,2000000000000.0
2026-01,-0.0005280540575864598,carry:2025-12,0,
2026-02,-0.0005280540575864598,carry:2025-12,0,
2026-03,-0.0005280540575864598,carry:2025-12,0,
2026-04,-0.0005280540575864598,carry:2025-12,0,
2026-05,-0.0005280540575864598,carry:2025-12,0,
2026-06,-0.0005280540575864598,carry:2025-12,0,
2026-07,-0.0005280540575864598,carry:2025-12,0,
2026-08,0.011648576171878327,observed,2,5300000000000.0
2026-09,0.003422604659111796,observed,1,3000000000000.0
