bond_id,obs_date,group,tenor_bucket,par_value,obs_dirty_price,delta,status,n_eval,resid_price,message,price_hash
VCBH2131001,2023-11-15,LB_G1,7Y,450000000000.0,100.0,-0.0087163207040521,ok,8,-1.6289610016428926e-07,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VCBH2131003,2023-11-19,LB_G1,7Y,600000000000.0,100.0,0.0244215066705621,ok,8,-6.497066209476543e-07,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VIB_BOND_L1_2017_002,2023-12-13,LB_G2,1Y,800000000000.0,100.0,0.0118420954035674,ok,8,2.389953124293242e-09,,48613e4f4e924e9a2b63e3a20104bde110c22a22
VIB_BOND_L1_2017_003,2023-12-14,LB_G2,1Y,200000000000.0,100.0,0.0092293863408713,ok,8,1.9961419184255647e-09,,48613e4f4e924e9a2b63e3a20104bde110c22a22
VCBL2329001,2023-12-22,LB_G1,5Y,1000000000000.0,100.0,-0.0313783096900183,ok,10,-9.73657421354801e-08,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
VCBL2329002,2023-12-22,LB_G1,7Y,2000000000000.0,100.0,-0.0149715354069347,ok,8,-1.6651742242856926e-06,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
VCBH2131008,2023-12-23,LB_G1,7Y,300000000000.0,100.0,0.0265703765712837,ok,8,1.5390469343401494e-07,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VCBH2237001,2024-07-11,LB_G1,15Y,100000000000.0,100.0,0.0089755752192326,ok,8,1.685335490719808e-06,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VCBH2237002,2024-07-15,LB_G1,15Y,400000000000.0,100.0,0.0093286961678285,ok,8,1.7412829862450965e-06,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VCBH2230004,2024-07-22,LB_G1,5Y,300000000000.0,100.0,-0.0017419352857631,ok,9,-5.273820704587706e-07,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
VCBH2237003,2024-07-22,LB_G1,15Y,250000000000.0,100.0,0.0098257614307906,ok,8,1.8433452027011297e-06,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VIBL2431010,2024-12-18,LB_G2,7Y,500000000000.0,100.0,0.0107090291498397,ok,9,-2.353033323743148e-10,,48613e4f4e924e9a2b63e3a20104bde110c22a22
CTG12502,2025-04-28,LB_G1,7Y,2000000000000.0,100.0,-0.0270423082207855,ok,9,-2.432430363796812e-07,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
BID12513,2025-05-29,LB_G1,7Y,3000000000000.0,100.0,-0.0108196032606177,ok,8,2.2975044089434963e-08,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
CTG12506,2025-06-20,LB_G1,7Y,1000000000000.0,100.0,-0.0127763654295142,ok,7,-4.3039563024649405e-09,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
BIDL2230011,2025-06-23,LB_G1,5Y,2000000000000.0,100.0,0.0038704505707848,ok,8,4.580277703780666e-07,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
VBA125019,2025-07-29,LB_G1,10Y,1500000000000.0,100.0,-0.0003779203260544,ok,8,1.4764633249342296e-06,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
HDBC8Y253302,2025-08-20,LB_G3,7Y,2490000000000.0,100.0,-0.0225457095878957,ok,9,-1.267426796403015e-06,,9ea93f7e0295e7f804a0b158b8c3cdce29de6a0c
VCB12601,2026-06-02,LB_G1,10Y,400000000000.0,100.0,-0.029431116805913,ok,9,6.944968333755241e-08,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VCB12603,2026-07-06,LB_G1,10Y,100000000000.0,100.0,-0.0296599900682698,ok,9,7.27294207081286e-08,,cdae96692ff10f5afe6af0bc9930fd63354340d8
VCB12604,2026-07-17,LB_G1,7Y,500000000000.0,100.0,-0.0367888249330623,ok,8,-2.021890566084039e-06,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
VCB12606,2026-08-06,LB_G1,10Y,2000000000000.0,100.0,-0.0367880667545114,ok,9,2.67057771452528e-08,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
VCBL12608,2026-08-17,LB_G1,7Y,500000000000.0,100.0,-0.019653846632283,ok,7,-3.283542028498232e-06,,35ada8b1d37b370c36a6c8a171cfbeec7041a5ae
