,3M,6M,9M,1Y,15M,18M,21M,2Y,27M,30M,33M,3Y,5Y,7Y,10Y,15Y,20Y,30Y
2025-06,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217,-0.004066547550895217
2025-07,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385,-0.0026194703309819385
2025-08,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
2025-09,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
2025-10,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
2025-11,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
2025-12,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
2026-01,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
2026-02,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
2026-03,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643,-0.023390289939937643
