,delta,nguon,so_quan_sat,tong_menh_gia
2025-06,-0.004066547550895217,observed,2,3000000000000.0
2025-07,-0.0026194703309819385,observed,1,1500000000000.0
2025-08,-0.023390289939937643,observed,1,2488000000000.0
2025-09,-0.023390289939937643,carry:2025-08,0,
2025-10,-0.023390289939937643,carry:2025-08,0,
2025-11,-0.023390289939937643,carry:2025-08,0,
2025-12,-0.023390289939937643,carry:2025-08,0,
2026-01,-0.023390289939937643,carry:2025-08,0,
2026-02,-0.023390289939937643,carry:2025-08,0,
2026-03,-0.023390289939937643,carry:2025-08,0,
2026-04,-0.023390289939937643,carry:2025-08,0,
2026-05,-0.023390289939937643,carry:2025-08,0,
2026-06,-0.028939780145693112,observed,1,400000000000.0
2026-07,-0.035283274144550625,observed,2,600000000000.0
2026-08,-0.04559177054950414,observed,2,2500000000000.0
