,3M,6M,9M,1Y,15M,18M,21M,2Y,27M,30M,33M,3Y,5Y,7Y,10Y,15Y,20Y,30Y
2025-06,-0.0039031971597814482,-0.003748536453375637,-0.00360204680371357,-0.003463242554541025,-0.003331668839517292,-0.003206899548843728,-0.003088535434013232,-0.0029762023411030168,-0.0028695495637077475,-0.0027682483072366784,-0.0026719902568802982,-0.0025804862420924783,-0.001990302942734033,-0.0015847418891960646,-0.0011860227427961654,-0.000815088057669566,-0.0006148269017399629,-0.00041041963009539624
2025-07,-0.0025142480268722485,-0.002414623191129323,-0.0023202617490748092,-0.002230850864787556,-0.0021460975356974122,-0.002065727282787148,-0.0019894829297650942,-0.0019171234650390595,-0.0018484229807567039,-0.0017831696835811325,-0.001721164972245298,-0.0016622225772769516,-0.0012820554642254524,-0.0010208129399838222,-0.0007639776364942424,-0.0005250397191920451,-0.00039604131210585193,-0.00026437218078288597
2025-08,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2025-09,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2025-10,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2025-11,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2025-12,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2026-01,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2026-02,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2026-03,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2026-04,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2026-05,-0.02245071823638972,-0.02156112854885462,-0.02071853779197503,-0.019920152529683818,-0.019163356425774408,-0.01844569854819406,-0.017764882467791926,-0.01711875609643265,-0.016505302213266865,-0.01592262963155399,-0.015368964961779455,-0.014842644929917468,-0.011447981934604876,-0.009115243779726704,-0.006821859447642597,-0.004688287978158458,-0.003536410017240652,-0.002360684099921554
2026-06,-0.0277772892744122,-0.026676638959976202,-0.02563413836167222,-0.02464633128353855,-0.023709980647505614,-0.02282205402281088,-0.021979710138357825,-0.021180286309859454,-0.02042128671840818,-0.019700371481572984,-0.019015346462265527,-0.018364153764463476,-0.014164086086579515,-0.011277891451412711,-0.008440387575636974,-0.0058006131474214444,-0.004375445052916009,-0.002920770927619606
2026-07,-0.03386596952456214,-0.03252406068537869,-0.03125304776749751,-0.030048716989438548,-0.028907121717454725,-0.027824564823047487,-0.02679758223888415,-0.02582292763001726,-0.02489755810315986,-0.024018620882207083,-0.02318344088324299,-0.022389509126961193,-0.017268801970293304,-0.013749964023548333,-0.010290489672630715,-0.007072086341243824,-0.005334526611095508,-0.0035609932360862384
2026-08,-0.04376038078764308,-0.04202641472645053,-0.040384057810250215,-0.03882786514303851,-0.037352737027448825,-0.035953896167771365,-0.03462686642150438,-0.03336745299205826,-0.03217172396279804,-0.031035993079634328,-0.029956803695896622,-0.028930913799282396,-0.022314121242516135,-0.017767206134478665,-0.013296998517612965,-0.009138294151935122,-0.0068930823212973655,-0.004601386648043112
